,AAPL,AMD,AMZN,BAC,C,CMCSA,CSCO,F,GOOG,GOOGL,HPQ,INDEX,INTC,META,MSFT,MU,NVDA,PFE,T,TSLA,WFC
2012-09-05,-0.0070472710317842,-0.0363676757077235,-0.0067193277187091,-0.0062696370054023,0.0023541189075111,0.0053539780152045,-0.0052770772844271,0.0168602361942818,-0.0004700203531444,-0.0004700357348392,0.0163459667808422,-0.0010682316087138,-0.0012292846036344,0.0468276350119298,0.0,0.0162869891632324,0.0030075182604515,0.0058699727895345,0.0032547122925978,-0.0071325628540239,-0.0014803625982608
2012-09-06,0.0089714346852695,0.0418471361035288,0.0207403232365215,0.0490896798733268,0.0443495358734829,0.0275032675857759,0.0429783949511078,0.0359197554116369,0.0270717418493555,0.0270718098083412,0.0183597120776497,0.0202294982714129,0.0286946741325708,0.0202457192601155,0.031100692402282,0.0761828659102224,0.0303165442383324,0.0174062156576257,0.0137154334843247,0.0215972202682708,0.0317857390454386
2012-09-07,0.0061472852767169,-0.0590889259996473,0.0304026812040439,0.0524901586108164,0.0300702779112917,-0.005498565140865,-0.0086536595300093,0.0219351030335932,0.0096049399114783,0.0096048374163405,-0.009711618816288,0.0040417610177212,-0.0369285146361799,0.0010543205240016,-0.0128412554657088,-0.0396998322650812,-0.0243285079505053,-0.0041169516408485,-0.0037463716864063,0.0276359552341166,0.0045819051254363
2012-09-08,-0.0263568969453719,0.0057803573391553,-0.0079422352252805,-0.0253178385507741,-0.0075117652920545,-0.0084511919913729,-0.0211839415965469,-0.0029630329476462,-0.0076480131027885,-0.0076479140237598,0.0005738368234399,-0.0061667443421586,-0.0392041897688889,-0.0089971541428483,-0.0074591378535848,-0.0015588824577465,-0.0089955545482786,-0.005792339769241,0.0032120246282399,-0.0698449961537798,-0.0117834341290067
2012-09-09,-0.0032493950408092,0.0776012377785289,-0.0055386755578649,0.0511184332497942,0.0257418439732257,0.0029223367034976,-0.0057606182589274,0.003948668830921,-0.0123192656043773,-0.0123193176613764,0.0293972411727995,0.0031299804777848,0.0034334764653568,0.0324296641750499,0.0022761057432471,-0.0078308487830538,0.0119761799328258,0.0029003637787577,0.0053304638125337,0.0155881457907376,-0.0128019966619425
2012-09-10,0.0138307706391554,0.0366533446156893,-0.0001564525780096,-0.0066666320177947,0.0118704603429862,0.0092942781163269,0.0020985845738683,0.0058939680082393,-0.0018943023790328,-0.0018942688316025,0.002225967884879,0.0020905056879527,-0.0064474590989315,0.0743652719429202,-0.0003248409520723,0.0171476777400725,0.0110989355174835,-0.0041459685260829,0.0026546479157885,0.0171187945849564,0.0052570301080031
2012-09-11,0.0195014178189433,0.0076824886671031,0.0178732128511746,0.0468239428542692,0.0414874763926563,0.0189009018978707,0.0145684513533482,0.0126522479245218,0.0217057304818644,0.0217057395043335,0.013800920812422,0.0161782196302145,0.0073040097909977,-0.0105669198382171,0.0051847116870895,0.0198935584978349,0.0066006951115693,0.0074503783663323,0.0113353130918453,0.0415572565778809,0.0349204739817567
2012-09-12,0.012079379189473,-0.0051150956763238,0.0039500977112334,0.0158315257708043,0.0098209958737188,0.0014174130679574,0.006692388401063,0.0182084169496902,0.0051422660994899,0.0051422747326895,-0.0038451625599495,0.0039511152790704,0.0004280003733911,0.0604258221578421,0.0086886645422709,0.015037863346261,0.0116280267120848,-0.018731026778861,-0.0236053759283919,0.0304017281821247,0.016183439934436
2012-09-13,0.0122210590537637,0.0278147208074526,-0.012594830975697,-0.0265267537965404,-0.0212062999253682,-0.0068220236634094,-0.0170767371970799,-0.0133844626323112,0.0004226928966055,0.0004226260926925,0.0021991611785968,-0.0031295294353358,-0.0025707543249096,-0.0220596967931863,0.0,-0.0195936393044476,-0.0278406341639792,0.0092012422339244,0.009083692360505,0.0683563211999914,-0.022391061524416
2012-09-14,0.003039165001687,-0.1023173041720747,0.0029027892292585,-0.0075554217487729,-0.003529496210538,-0.0060078252404804,-0.005757703055443,0.0028832054923849,0.0116226093387159,0.0116227007954366,0.0021941053432989,-0.0012805984266831,0.0025707543249097,0.0161331164972727,-0.000961653531085,-0.0137933453169596,0.0066642343514027,-0.0004163838653903,0.001594454357085,-0.0375748345639943,0.0031085737888886
